10, 2, 3.19834
18, 10, 3.85535
29, 18, 3.80155
37, 29, 3.81851
48, 37, 3.77982
56, 48, 3.80537
65, 56, 3.82456
73, 65, 3.8075
81, 73, 3.8
87, 81, 3.78915
95, 87, 3.81555
104, 95, 3.80256
113, 104, 3.81218
121, 113, 3.83213
130, 121, 3.79101
138, 130, 3.78819
149, 138, 3.78065
157, 149, 3.82869
163, 157, 3.82004
168, 163, 3.79387
176, 168, 3.81438
184, 176, 3.80696
191, 184, 3.79218
199, 191, 3.78577
207, 199, 3.80371
216, 207, 3.80716
227, 216, 3.80136
232, 227, 3.81486
240, 232, 3.81972
246, 240, 3.794
251, 246, 3.79506
259, 251, 3.79999
270, 259, 3.80128
279, 270, 3.82436
290, 279, 3.79057
302, 290, 3.80864
309, 302, 3.82241
314, 309, 3.8116
323, 314, 3.79808
334, 323, 3.79091
343, 334, 3.80818
350, 343, 3.81361
358, 350, 3.80916
366, 358, 3.79272
374, 366, 3.83105
379, 374, 3.80045
387, 379, 3.79608
395, 387, 3.82325
400, 395, 3.79272
