0,2,97.506042
2,10,100.558067
10,18,103.698906
18,29,106.891380
29,37,107.470871
37,48,106.805435
48,56,110.402710
56,65,113.739708
65,73,112.464134
73,81,114.403046
81,87,112.205551
87,95,111.293907
95,104,109.034676
104,113,106.388206
113,121,105.123764
121,130,103.806038
130,138,101.237862
138,149,98.891235
149,157,97.905510
157,163,96.457199
163,168,93.022766
168,176,90.850227
176,184,90.152191
184,191,89.385979
191,199,86.102119
199,207,84.559418
207,216,84.809502
216,227,82.511566
227,232,79.512794
232,240,79.539047
240,246,79.358536
246,251,76.098213
251,259,74.251991
259,270,75.558212
270,279,74.037544
279,290,70.468536
290,302,71.116798
302,309,71.902489
309,314,68.475365
314,323,66.512543
323,334,68.288689
334,343,67.751114
343,350,64.020355
350,358,63.690189
358,366,66.202660
366,374,64.466461
374,379,61.073940
379,387,63.064041
387,395,65.421112
395,400,62.710964
